+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                          ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                      ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; system_inst|spislave_0|SPIPhy_MOSIctl                                                                                                                                          ; 6     ; 0              ; 1            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|spislave_0                                                                                                                                                         ; 15    ; 0              ; 0            ; 0              ; 10     ; 0               ; 0             ; 0               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|spi_command_decoder_0                                                                                                                                              ; 11    ; 0              ; 0            ; 0              ; 89     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|sig_extract_0                                                                                                                                                      ; 103   ; 0              ; 0            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|preprocess_block_0|u_split_sync                                                                                                                                    ; 132   ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|preprocess_block_0|u_afll                                                                                                                                          ; 4     ; 0              ; 0            ; 0              ; 64     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|preprocess_block_0|u_sig_R                                                                                                                                         ; 4     ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|preprocess_block_0|u_sig_L                                                                                                                                         ; 4     ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|preprocess_block_0|u_dir                                                                                                                                           ; 3     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|preprocess_block_0                                                                                                                                                 ; 5     ; 0              ; 0            ; 0              ; 167    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|pll_0                                                                                                                                                              ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|pid_focus_0|u_pwm_generator                                                                                                                                        ; 10    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|pid_focus_0|u_pid                                                                                                                                                  ; 82    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|pid_focus_0                                                                                                                                                        ; 83    ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|output_conversion_0|up_right|coeffs                                                                                                                                ; 7     ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|output_conversion_0|up_right                                                                                                                                       ; 19    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|output_conversion_0|up_left|coeffs                                                                                                                                 ; 7     ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|output_conversion_0|up_left                                                                                                                                        ; 19    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|output_conversion_0                                                                                                                                                ; 45    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|i2s_tx_0                                                                                                                                                           ; 35    ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:gen_outp_blk:0:outp_blk                 ; 25    ; 0              ; 2            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_11 ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_wi0_r0_delayr2 ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_wi0_r0_delayr1 ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core                          ; 19    ; 16             ; 0            ; 16             ; 31     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|intf_ctrl                                                 ; 6     ; 1              ; 1            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|source                                                    ; 29    ; 2              ; 3            ; 2              ; 29     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|sink                                                      ; 16    ; 0              ; 3            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst                                                           ; 16    ; 7              ; 0            ; 7              ; 29     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir|fir_compiler_ii_0                                                                                                      ; 13    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir|u_fir                                                                                                                        ; 13    ; 8              ; 0            ; 8              ; 23     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_fir                                                                                                                              ; 19    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_extrap|div_inst                                                                                                                  ; 19    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_extrap                                                                                                                           ; 19    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_groove|u_reciprocal|u_cdc_handshake                                                                                              ; 36    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_groove|u_reciprocal                                                                                                              ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_groove|u_cdc_handshake                                                                                                           ; 36    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right|u_groove                                                                                                                           ; 101   ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_right                                                                                                                                    ; 102   ; 0              ; 1            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:gen_outp_blk:0:outp_blk                  ; 25    ; 0              ; 2            ; 0              ; 23     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core|d_u0_m0_wo0_compute_q_11  ; 4     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_wi0_r0_delayr2  ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core|u0_m0_wo0_wi0_r0_delayr1  ; 11    ; 0              ; 0            ; 0              ; 8      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|\real_passthrough:hpfircore_core                           ; 19    ; 16             ; 0            ; 16             ; 31     ; 16              ; 16            ; 16              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|intf_ctrl                                                  ; 6     ; 1              ; 1            ; 1              ; 6      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|source                                                     ; 29    ; 2              ; 3            ; 2              ; 29     ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst|sink                                                       ; 16    ; 0              ; 3            ; 0              ; 12     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0|fir_compiler_ii_fir_compiler_ii_0_ast_inst                                                            ; 16    ; 7              ; 0            ; 7              ; 29     ; 7               ; 7             ; 7               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir|fir_compiler_ii_0                                                                                                       ; 13    ; 0              ; 0            ; 0              ; 25     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir|u_fir                                                                                                                         ; 13    ; 8              ; 0            ; 8              ; 23     ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_fir                                                                                                                               ; 19    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_extrap|div_inst                                                                                                                   ; 19    ; 0              ; 0            ; 0              ; 16     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_extrap                                                                                                                            ; 19    ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_groove|u_reciprocal|u_cdc_handshake                                                                                               ; 36    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_groove|u_reciprocal                                                                                                               ; 34    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_groove|u_cdc_handshake                                                                                                            ; 36    ; 0              ; 0            ; 0              ; 33     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left|u_groove                                                                                                                            ; 101   ; 0              ; 0            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0|u_left                                                                                                                                     ; 102   ; 0              ; 1            ; 0              ; 17     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst|channel_processor_top_0                                                                                                                                            ; 134   ; 0              ; 0            ; 0              ; 34     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; system_inst                                                                                                                                                                    ; 17    ; 7              ; 0            ; 7              ; 12     ; 7               ; 7             ; 7               ; 1     ; 0              ; 0            ; 0                ; 0                 ;
; sync_nss                                                                                                                                                                       ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sync_sclk                                                                                                                                                                      ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; sync_mosi                                                                                                                                                                      ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
